TIME;IPSRC;IPDST;FLAGS;SEQ;ACK;WIN;OPTIONS;LENGTH
11:42:06.683131;190-0-175-100.gba.solunet.com.ar.2575;184.107.43.74.http:;[S],;1083782921:1083783041,;Vide;512,;Vide;120:
11:42:06.683148;190-0-175-100.gba.solunet.com.ar.2576;184.107.43.74.http:;[S],;1055260995:1055261115,;Vide;512,;Vide;120:
11:42:06.683164;190-0-175-100.gba.solunet.com.ar.2577;184.107.43.74.http:;[S],;1170111755:1170111875,;Vide;512,;Vide;120:
11:42:06.683181;190-0-175-100.gba.solunet.com.ar.2578;184.107.43.74.http:;[S],;1956050927:1956051047,;Vide;512,;Vide;120:
11:42:06.683197;190-0-175-100.gba.solunet.com.ar.2579;184.107.43.74.http:;[S],;1016109235:1016109355,;Vide;512,;Vide;120:
11:42:06.683214;190-0-175-100.gba.solunet.com.ar.2580;184.107.43.74.http:;[S],;1684776979:1684777099,;Vide;512,;Vide;120:
11:42:06.683230;190-0-175-100.gba.solunet.com.ar.2581;184.107.43.74.http:;[S],;503501716:503501836,;Vide;512,;Vide;120:
11:42:06.683246;190-0-175-100.gba.solunet.com.ar.2582;184.107.43.74.http:;[S],;1864451598:1864451718,;Vide;512,;Vide;120:
11:42:06.683262;190-0-175-100.gba.solunet.com.ar.mon;184.107.43.74.http:;[S],;289557681:289557801,;Vide;512,;Vide;120:
11:42:06.683279;190-0-175-100.gba.solunet.com.ar.2584;184.107.43.74.http:;[S],;138098778:138098898,;Vide;512,;Vide;120:
11:42:06.683295;190-0-175-100.gba.solunet.com.ar.2585;184.107.43.74.http:;[S],;1203053650:1203053770,;Vide;512,;Vide;120:
11:42:06.683311;190-0-175-100.gba.solunet.com.ar.2586;184.107.43.74.http:;[S],;2045943531:2045943651,;Vide;512,;Vide;120:
11:42:06.683328;190-0-175-100.gba.solunet.com.ar.2587;184.107.43.74.http:;[S],;155613128:155613248,;Vide;512,;Vide;120:
11:42:06.683344;190-0-175-100.gba.solunet.com.ar.2588;184.107.43.74.http:;[S],;1854989337:1854989457,;Vide;512,;Vide;120:
11:42:06.683360;190-0-175-100.gba.solunet.com.ar.2589;184.107.43.74.http:;[S],;1464992055:1464992175,;Vide;512,;Vide;120:
